date,tactic,state,campaign,impression,clicks,spend,attributed revenue,platform
2025-05-16,Non-Branded Search,CA,Google - Display - C01,73152,3250,365.01,1131.27,Google
2025-05-17,Non-Branded Search,CA,Google - Display - C01,111930,5259,1128.02,3589.82,Google
2025-05-18,Non-Branded Search,CA,Google - Display - C01,124627,5182,1155.82,4301.39,Google
2025-05-19,Non-Branded Search,CA,Google - Display - C01,321754,14764,2864.57,9123.52,Google
2025-05-20,Non-Branded Search,CA,Google - Display - C01,254380,10954,1122.68,3801.75,Google
2025-05-21,Non-Branded Search,CA,Google - Display - C01,134993,5648,988.37,3517.97,Google
2025-05-22,Non-Branded Search,CA,Google - Display - C01,96779,4350,675.16,2194.11,Google
2025-05-23,Non-Branded Search,CA,Google - Display - C01,134224,5877,1218.66,3513.87,Google
2025-05-24,Non-Branded Search,CA,Google - Display - C01,168559,7780,1170.87,3900.93,Google
2025-05-25,Non-Branded Search,CA,Google - Display - C01,145241,6979,488.3,1352.92,Google
2025-05-26,Non-Branded Search,CA,Google - Display - C01,312592,12854,2755.1,8037.37,Google
2025-05-27,Non-Branded Search,CA,Google - Display - C01,172941,8117,1089.3,3911.06,Google
2025-05-28,Non-Branded Search,CA,Google - Display - C01,288533,11953,1515.36,4977.84,Google
2025-05-29,Non-Branded Search,CA,Google - Display - C01,74736,3214,476.21,1671.22,Google
2025-05-30,Non-Branded Search,CA,Google - Display - C01,97895,4340,609.97,1707.49,Google
2025-05-31,Non-Branded Search,CA,Google - Display - C01,169283,7778,723.29,2302.16,Google
2025-06-01,Non-Branded Search,CA,Google - Display - C01,109684,4736,472.54,1426.87,Google
2025-06-02,Non-Branded Search,CA,Google - Display - C01,173885,8437,829.83,2262.39,Google
2025-06-03,Non-Branded Search,CA,Google - Display - C01,274751,12731,2957.68,8746.0,Google
2025-06-04,Non-Branded Search,CA,Google - Display - C01,115625,4777,696.53,2544.21,Google
2025-06-05,Non-Branded Search,CA,Google - Display - C01,154640,6560,876.86,2924.64,Google
2025-06-06,Non-Branded Search,CA,Google - Display - C01,230938,10020,1279.25,3372.14,Google
2025-06-07,Non-Branded Search,CA,Google - Display - C01,168557,8096,968.79,2669.72,Google
2025-06-08,Non-Branded Search,CA,Google - Display - C01,228340,10923,1011.6,3675.99,Google
2025-06-09,Non-Branded Search,CA,Google - Display - C01,220317,9883,2115.53,7518.37,Google
2025-06-10,Non-Branded Search,CA,Google - Display - C01,211142,9542,714.14,2341.47,Google
2025-06-11,Non-Branded Search,CA,Google - Display - C01,400633,17615,2142.92,7119.31,Google
2025-06-12,Non-Branded Search,CA,Google - Display - C01,107604,5314,985.41,3170.37,Google
2025-06-13,Non-Branded Search,CA,Google - Display - C01,384983,17473,2915.78,10251.46,Google
2025-06-14,Non-Branded Search,CA,Google - Display - C01,122504,5144,771.42,2697.62,Google
2025-06-15,Non-Branded Search,CA,Google - Display - C01,250483,10825,2275.54,8661.22,Google
2025-06-16,Non-Branded Search,CA,Google - Display - C01,282646,12075,2107.49,7284.53,Google
2025-06-17,Non-Branded Search,CA,Google - Display - C01,157978,6687,1223.17,3907.44,Google
2025-06-18,Non-Branded Search,CA,Google - Display - C01,100062,4149,942.45,2625.41,Google
2025-06-19,Non-Branded Search,CA,Google - Display - C01,250666,11737,2315.48,7345.28,Google
2025-06-20,Non-Branded Search,CA,Google - Display - C01,97912,4286,769.45,2180.64,Google
2025-06-21,Non-Branded Search,CA,Google - Display - C01,103675,4568,549.29,1818.81,Google
2025-06-22,Non-Branded Search,CA,Google - Display - C01,139891,6357,608.18,1692.71,Google
2025-06-23,Non-Branded Search,CA,Google - Display - C01,235401,10115,1664.58,5958.01,Google
2025-06-24,Non-Branded Search,CA,Google - Display - C01,137451,6077,443.35,1439.83,Google
2025-06-25,Non-Branded Search,CA,Google - Display - C01,89195,3974,694.41,2388.99,Google
2025-06-26,Non-Branded Search,CA,Google - Display - C01,321866,15492,2320.02,6333.64,Google
2025-06-27,Non-Branded Search,CA,Google - Display - C01,177762,8152,950.31,2928.51,Google
2025-06-28,Non-Branded Search,CA,Google - Display - C01,78694,3790,441.19,1550.78,Google
2025-06-29,Non-Branded Search,CA,Google - Display - C01,169121,7030,1286.81,4609.01,Google
2025-06-30,Non-Branded Search,CA,Google - Display - C01,231450,9589,2107.38,6991.05,Google
2025-07-01,Non-Branded Search,CA,Google - Display - C01,118837,5452,493.12,1481.23,Google
2025-07-02,Non-Branded Search,CA,Google - Display - C01,123223,5958,446.03,1319.1,Google
2025-07-03,Non-Branded Search,CA,Google - Display - C01,133894,5423,391.09,1258.46,Google
2025-07-04,Non-Branded Search,CA,Google - Display - C01,287622,12376,3025.62,8690.49,Google
2025-07-05,Non-Branded Search,CA,Google - Display - C01,205820,10054,657.38,2007.26,Google
2025-07-06,Non-Branded Search,CA,Google - Display - C01,167577,7353,1139.8,3174.01,Google
2025-07-07,Non-Branded Search,CA,Google - Display - C01,306754,15109,2651.04,7966.89,Google
2025-07-08,Non-Branded Search,CA,Google - Display - C01,201389,8448,750.25,2644.7,Google
2025-07-09,Non-Branded Search,CA,Google - Display - C01,352432,16973,2138.69,5827.91,Google
2025-07-10,Non-Branded Search,CA,Google - Display - C01,121159,5349,879.57,3125.87,Google
2025-07-11,Non-Branded Search,CA,Google - Display - C01,171629,7279,1027.78,3554.49,Google
2025-07-12,Non-Branded Search,CA,Google - Display - C01,198101,8279,1302.08,4148.12,Google
2025-07-13,Non-Branded Search,CA,Google - Display - C01,274874,11195,1988.28,6558.23,Google
2025-07-14,Non-Branded Search,CA,Google - Display - C01,142387,6925,777.67,2352.47,Google
2025-07-15,Non-Branded Search,CA,Google - Display - C01,176465,8477,579.67,1745.29,Google
2025-07-16,Non-Branded Search,CA,Google - Display - C01,75736,3620,367.86,1300.06,Google
2025-07-17,Non-Branded Search,CA,Google - Display - C01,189802,7997,1270.23,3850.21,Google
2025-07-18,Non-Branded Search,CA,Google - Display - C01,199909,9323,1566.27,5216.33,Google
2025-07-19,Non-Branded Search,CA,Google - Display - C01,120071,5886,893.99,2666.57,Google
2025-07-20,Non-Branded Search,CA,Google - Display - C01,168046,7578,621.01,1759.77,Google
2025-07-21,Non-Branded Search,CA,Google - Display - C01,280168,13710,855.83,2979.34,Google
2025-07-22,Non-Branded Search,CA,Google - Display - C01,166375,7800,888.19,2565.51,Google
2025-07-23,Non-Branded Search,CA,Google - Display - C01,184217,7844,1941.47,6502.92,Google
2025-07-24,Non-Branded Search,CA,Google - Display - C01,181029,8515,621.15,1936.09,Google
2025-07-25,Non-Branded Search,CA,Google - Display - C01,103693,4986,341.18,1241.21,Google
2025-07-26,Non-Branded Search,CA,Google - Display - C01,91560,4026,621.76,1726.39,Google
2025-07-27,Non-Branded Search,CA,Google - Display - C01,122843,5641,491.6,1469.35,Google
2025-07-28,Non-Branded Search,CA,Google - Display - C01,180246,8905,883.22,3099.69,Google
