date,tactic,state,campaign,impression,clicks,spend,attributed revenue,platform
2025-05-16,Retargeting,CA,TikTok - Retargeting - C01,67236,1018,821.74,2232.18,TikTok
2025-05-17,Retargeting,CA,TikTok - Retargeting - C01,182920,3121,1447.52,5122.74,TikTok
2025-05-18,Retargeting,CA,TikTok - Retargeting - C01,277408,4345,2645.03,7723.98,TikTok
2025-05-19,Retargeting,CA,TikTok - Retargeting - C01,165423,2821,1758.43,6039.97,TikTok
2025-05-20,Retargeting,CA,TikTok - Retargeting - C01,137172,2048,1229.36,3437.64,TikTok
2025-05-21,Retargeting,CA,TikTok - Retargeting - C01,111160,1698,832.01,2912.44,TikTok
2025-05-22,Retargeting,CA,TikTok - Retargeting - C01,212094,3265,1585.38,5036.12,TikTok
2025-05-23,Retargeting,CA,TikTok - Retargeting - C01,83740,1214,664.23,1983.97,TikTok
2025-05-24,Retargeting,CA,TikTok - Retargeting - C01,120011,1954,1288.21,3649.96,TikTok
2025-05-25,Retargeting,CA,TikTok - Retargeting - C01,150769,2448,1075.89,3122.14,TikTok
2025-05-26,Retargeting,CA,TikTok - Retargeting - C01,139101,2352,720.51,2174.3,TikTok
2025-05-27,Retargeting,CA,TikTok - Retargeting - C01,140452,2264,636.54,1997.55,TikTok
2025-05-28,Retargeting,CA,TikTok - Retargeting - C01,199789,3170,1785.53,5819.59,TikTok
2025-05-29,Retargeting,CA,TikTok - Retargeting - C01,69640,1012,806.54,2086.11,TikTok
2025-05-30,Retargeting,CA,TikTok - Retargeting - C01,225798,3582,1178.52,2995.61,TikTok
2025-05-31,Retargeting,CA,TikTok - Retargeting - C01,106068,1835,756.51,2331.25,TikTok
2025-06-01,Retargeting,CA,TikTok - Retargeting - C01,203595,3520,1513.58,5097.56,TikTok
2025-06-02,Retargeting,CA,TikTok - Retargeting - C01,132674,2333,646.84,2085.55,TikTok
2025-06-03,Retargeting,CA,TikTok - Retargeting - C01,161747,2554,1771.0,4633.6,TikTok
2025-06-04,Retargeting,CA,TikTok - Retargeting - C01,186313,3183,1579.44,4051.2,TikTok
2025-06-05,Retargeting,CA,TikTok - Retargeting - C01,191670,3195,1426.79,3631.85,TikTok
2025-06-06,Retargeting,CA,TikTok - Retargeting - C01,165379,2447,1316.57,4378.71,TikTok
2025-06-07,Retargeting,CA,TikTok - Retargeting - C01,90676,1335,1105.49,3293.84,TikTok
2025-06-08,Retargeting,CA,TikTok - Retargeting - C01,206586,3608,946.9,2446.98,TikTok
2025-06-09,Retargeting,CA,TikTok - Retargeting - C01,87265,1341,896.14,2772.59,TikTok
2025-06-10,Retargeting,CA,TikTok - Retargeting - C01,133054,2092,1472.38,4726.07,TikTok
2025-06-11,Retargeting,CA,TikTok - Retargeting - C01,83969,1252,424.83,1353.5,TikTok
2025-06-12,Retargeting,CA,TikTok - Retargeting - C01,83644,1229,954.99,2944.96,TikTok
2025-06-13,Retargeting,CA,TikTok - Retargeting - C01,137784,2330,844.68,2272.56,TikTok
2025-06-14,Retargeting,CA,TikTok - Retargeting - C01,113773,1847,1379.54,4350.48,TikTok
2025-06-15,Retargeting,CA,TikTok - Retargeting - C01,122521,1897,761.48,2116.73,TikTok
2025-06-16,Retargeting,CA,TikTok - Retargeting - C01,195362,3164,838.85,2661.18,TikTok
2025-06-17,Retargeting,CA,TikTok - Retargeting - C01,108129,1743,620.27,1548.42,TikTok
2025-06-18,Retargeting,CA,TikTok - Retargeting - C01,68970,1078,391.35,1211.85,TikTok
2025-06-19,Retargeting,CA,TikTok - Retargeting - C01,109952,1645,1163.38,3416.39,TikTok
2025-06-20,Retargeting,CA,TikTok - Retargeting - C01,102478,1707,796.87,2375.6,TikTok
2025-06-21,Retargeting,CA,TikTok - Retargeting - C01,136392,2214,1162.31,2924.92,TikTok
2025-06-22,Retargeting,CA,TikTok - Retargeting - C01,194946,3264,1525.0,4675.58,TikTok
2025-06-23,Retargeting,CA,TikTok - Retargeting - C01,171087,2878,1269.47,4251.21,TikTok
2025-06-24,Retargeting,CA,TikTok - Retargeting - C01,112659,1807,1464.88,4943.29,TikTok
2025-06-25,Retargeting,CA,TikTok - Retargeting - C01,87773,1272,483.97,1577.21,TikTok
2025-06-26,Retargeting,CA,TikTok - Retargeting - C01,132847,2327,513.0,1437.22,TikTok
2025-06-27,Retargeting,CA,TikTok - Retargeting - C01,205584,3181,2346.77,6607.75,TikTok
2025-06-28,Retargeting,CA,TikTok - Retargeting - C01,239289,3856,2201.23,7751.18,TikTok
2025-06-29,Retargeting,CA,TikTok - Retargeting - C01,77794,1248,460.05,1485.67,TikTok
2025-06-30,Retargeting,CA,TikTok - Retargeting - C01,80915,1337,811.1,2677.79,TikTok
2025-07-01,Retargeting,CA,TikTok - Retargeting - C01,157963,2516,860.51,2492.17,TikTok
2025-07-02,Retargeting,CA,TikTok - Retargeting - C01,100764,1569,484.43,1280.85,TikTok
2025-07-03,Retargeting,CA,TikTok - Retargeting - C01,63048,921,619.28,2111.58,TikTok
2025-07-04,Retargeting,CA,TikTok - Retargeting - C01,136891,2231,796.48,2027.29,TikTok
2025-07-05,Retargeting,CA,TikTok - Retargeting - C01,114724,1776,768.73,2679.41,TikTok
2025-07-06,Retargeting,CA,TikTok - Retargeting - C01,191488,2913,1999.8,5083.56,TikTok
2025-07-07,Retargeting,CA,TikTok - Retargeting - C01,105156,1788,629.25,2132.48,TikTok
2025-07-08,Retargeting,CA,TikTok - Retargeting - C01,172685,2510,2011.26,6703.73,TikTok
2025-07-09,Retargeting,CA,TikTok - Retargeting - C01,174818,2927,1842.54,5443.78,TikTok
2025-07-10,Retargeting,CA,TikTok - Retargeting - C01,162960,2359,1450.18,4606.61,TikTok
2025-07-11,Retargeting,CA,TikTok - Retargeting - C01,91659,1472,829.32,2289.43,TikTok
2025-07-12,Retargeting,CA,TikTok - Retargeting - C01,129951,2035,1141.13,3097.88,TikTok
2025-07-13,Retargeting,CA,TikTok - Retargeting - C01,164177,2482,825.08,2666.41,TikTok
2025-07-14,Retargeting,CA,TikTok - Retargeting - C01,126259,2124,1024.17,3472.4,TikTok
2025-07-15,Retargeting,CA,TikTok - Retargeting - C01,81429,1179,885.42,2900.99,TikTok
2025-07-16,Retargeting,CA,TikTok - Retargeting - C01,161920,2791,1942.57,5742.28,TikTok
2025-07-17,Retargeting,CA,TikTok - Retargeting - C01,131231,1905,1436.23,4738.26,TikTok
2025-07-18,Retargeting,CA,TikTok - Retargeting - C01,127568,1843,1480.25,4636.67,TikTok
2025-07-19,Retargeting,CA,TikTok - Retargeting - C01,197149,2900,890.03,2575.3,TikTok
2025-07-20,Retargeting,CA,TikTok - Retargeting - C01,63995,1029,464.87,1451.03,TikTok
2025-07-21,Retargeting,CA,TikTok - Retargeting - C01,164318,2857,1590.0,4720.76,TikTok
2025-07-22,Retargeting,CA,TikTok - Retargeting - C01,66194,978,697.79,2285.33,TikTok
2025-07-23,Retargeting,CA,TikTok - Retargeting - C01,220154,3867,1865.2,6223.6,TikTok
2025-07-24,Retargeting,CA,TikTok - Retargeting - C01,104054,1734,992.87,2706.71,TikTok
2025-07-25,Retargeting,CA,TikTok - Retargeting - C01,181881,3007,1744.61,5255.08,TikTok
2025-07-26,Retargeting,CA,TikTok - Retargeting - C01,165841,2603,1492.86,4433.86,TikTok
2025-07-27,Retargeting,CA,TikTok - Retargeting - C01,190371,3002,1450.52,4510.25,TikTok
2025-07-28,Retargeting,CA,TikTok - Retargeting - C01,121974,2054,1417.21,4474.05,TikTok
2025-07-29,Retargeting,CA,TikTok - Retargeting - C01,181120,2902,1968.49,6102.44,TikTok
2025-07-30,Retargeting,CA,TikTok - Retargeting - C01,230988,3671,1934.41,6709.4,TikTok
2025-07-31,Retargeting,CA,TikTok - Retargeting - C01,225706,3386,1428.65,4067.49,TikTok
2025-08-01,Retargeting,CA,TikTok - Retargeting - C01,124261,2080,859.87,2230.83,TikTok
2025-08-02,Retargeting,CA,TikTok - Retargeting - C01,132636,1955,1489.52,4089.18,TikTok
2025-08-03,Retargeting,CA,TikTok - Retargeting - C01,156241,2722,1071.54,3344.65,TikTok
2025-08-04,Retargeting,CA,TikTok - Retargeting - C01,220371,3582,2634.6,8164.25,TikTok
2025-08-05,Retargeting,CA,TikTok - Retargeting - C01,118580,2042,761.57,2045.17,TikTok
2025-08-06,Retargeting,CA,TikTok - Retargeting - C01,106382,1674,1196.18,3404.19,TikTok
2025-08-07,Retargeting,CA,TikTok - Retargeting - C01,180901,2832,1544.08,4837.59,TikTok
2025-08-08,Retargeting,CA,TikTok - Retargeting - C01,232749,3738,2073.87,6170.16,TikTok
2025-08-09,Retargeting,CA,TikTok - Retargeting - C01,202934,3247,1485.32,4567.26,TikTok
2025-08-10,Retargeting,CA,TikTok - Retargeting - C01,215005,3341,1611.02,4401.59,TikTok
2025-08-11,Retargeting,CA,TikTok - Retargeting - C01,187311,3214,1640.49,4951.36,TikTok
2025-08-12,Retargeting,CA,TikTok - Retargeting - C01,178547,3125,1523.4,4650.63,TikTok
2025-08-13,Retargeting,CA,TikTok - Retargeting - C01,134279,2332,571.2,1537.66,TikTok
2025-08-14,Retargeting,CA,TikTok - Retargeting - C01,146583,2433,1275.52,4005.43,TikTok
2025-08-15,Retargeting,CA,TikTok - Retargeting - C01,116344,1684,496.96,1428.14,TikTok
2025-08-16,Retargeting,CA,TikTok - Retargeting - C01,126797,2063,962.87,3392.52,TikTok
2025-08-17,Retargeting,CA,TikTok - Retargeting - C01,90928,1336,686.91,2162.47,TikTok
2025-08-18,Retargeting,CA,TikTok - Retargeting - C01,100935,1514,389.26,1171.88,TikTok
2025-08-19,Retargeting,CA,TikTok - Retargeting - C01,164143,2523,1690.18,5228.15,TikTok
2025-08-20,Retargeting,CA,TikTok - Retargeting - C01,177774,2743,1273.32,3747.59,TikTok
2025-08-21,Retargeting,CA,TikTok - Retargeting - C01,150453,2269,1639.4,4808.84,TikTok
2025-08-22,Retargeting,CA,TikTok - Retargeting - C01,163056,2593,1209.53,4105.35,TikTok
2025-08-23,Retargeting,CA,TikTok - Retargeting - C01,209217,3301,1623.95,5678.25,TikTok
2025-08-24,Retargeting,CA,TikTok - Retargeting - C01,78851,1194,488.72,1423.1,TikTok
2025-08-25,Retargeting,CA,TikTok - Retargeting - C01,223266,3580,2109.73,6367.9,TikTok
2025-08-26,Retargeting,CA,TikTok - Retargeting - C01,138101,2160,785.21,2217.15,TikTok
2025-08-27,Retargeting,CA,TikTok - Retargeting - C01,202892,3231,913.48,3084.49,TikTok
2025-08-28,Retargeting,CA,TikTok - Retargeting - C01,86366,1512,477.15,1578.51,TikTok
2025-08-29,Retargeting,CA,TikTok - Retargeting - C01,100056,1754,1050.71,3319.13,TikTok
2025-08-30,Retargeting,CA,TikTok - Retargeting - C01,115405,2011,1254.61,4200.62,TikTok
2025-08-31,Retargeting,CA,TikTok - Retargeting - C01,231548,4010,1178.03,3996.42,TikTok
2025-09-01,Retargeting,CA,TikTok - Retargeting - C01,118457,1777,1263.66,4340.78,TikTok
2025-09-02,Retargeting,CA,TikTok - Retargeting - C01,184348,2918,1668.14,5199.19,TikTok
2025-09-03,Retargeting,CA,TikTok - Retargeting - C01,163152,2352,1217.26,4006.31,TikTok
2025-09-04,Retargeting,CA,TikTok - Retargeting - C01,59551,925,652.21,1895.99,TikTok
2025-09-05,Retargeting,CA,TikTok - Retargeting - C01,202506,3049,1424.9,4257.03,TikTok
2025-09-06,Retargeting,CA,TikTok - Retargeting - C01,129478,2033,879.85,2290.59,TikTok
2025-09-07,Retargeting,CA,TikTok - Retargeting - C01,119595,1923,560.22,1557.93,TikTok
2025-09-08,Retargeting,CA,TikTok - Retargeting - C01,237721,3738,1674.45,4737.62,TikTok
2025-09-09,Retargeting,CA,TikTok - Retargeting - C01,162682,2832,1142.43,3367.31,TikTok
2025-09-10,Retargeting,CA,TikTok - Retargeting - C01,155778,2282,754.11,2514.87,TikTok
2025-09-11,Retargeting,CA,TikTok - Retargeting - C01,155342,2678,1555.29,4302.58,TikTok
2025-09-12,Retargeting,CA,TikTok - Retargeting - C01,118179,1800,561.03,1476.46,TikTok
2025-05-16,Retargeting,CA,TikTok - Retargeting - C02,85543,1439,637.54,1897.52,TikTok
2025-05-17,Retargeting,CA,TikTok - Retargeting - C02,94431,1404,1033.46,3243.08,TikTok
2025-05-18,Retargeting,CA,TikTok - Retargeting - C02,169438,2920,1325.61,4170.41,TikTok
2025-05-19,Retargeting,CA,TikTok - Retargeting - C02,188296,3130,1231.54,3614.5,TikTok
2025-05-20,Retargeting,CA,TikTok - Retargeting - C02,116396,1740,1024.97,3051.09,TikTok
2025-05-21,Retargeting,CA,TikTok - Retargeting - C02,158070,2321,591.07,1729.74,TikTok
2025-05-22,Retargeting,CA,TikTok - Retargeting - C02,101577,1500,784.47,2332.92,TikTok
2025-05-23,Retargeting,CA,TikTok - Retargeting - C02,65948,1120,370.94,1243.44,TikTok
2025-05-24,Retargeting,CA,TikTok - Retargeting - C02,73024,1150,361.8,1027.31,TikTok
2025-05-25,Retargeting,CA,TikTok - Retargeting - C02,73036,1209,635.57,2182.37,TikTok
2025-05-26,Retargeting,CA,TikTok - Retargeting - C02,225828,3607,1664.09,5508.72,TikTok
2025-05-27,Retargeting,CA,TikTok - Retargeting - C02,140024,2234,1021.77,2837.99,TikTok
2025-05-28,Retargeting,CA,TikTok - Retargeting - C02,114586,1933,1279.52,3420.41,TikTok
2025-05-29,Retargeting,CA,TikTok - Retargeting - C02,120945,1817,1032.41,3427.19,TikTok
2025-05-30,Retargeting,CA,TikTok - Retargeting - C02,99196,1608,546.46,1474.22,TikTok
2025-05-31,Retargeting,CA,TikTok - Retargeting - C02,129500,2034,1480.65,4456.97,TikTok
2025-06-01,Retargeting,CA,TikTok - Retargeting - C02,100604,1740,1121.5,3230.93,TikTok
2025-06-02,Retargeting,CA,TikTok - Retargeting - C02,123288,1780,1052.06,2859.7,TikTok
2025-06-03,Retargeting,CA,TikTok - Retargeting - C02,111064,1765,547.13,1697.17,TikTok
2025-06-04,Retargeting,CA,TikTok - Retargeting - C02,127163,2035,1012.36,3059.51,TikTok
2025-06-05,Retargeting,CA,TikTok - Retargeting - C02,163970,2481,1830.04,6167.08,TikTok
2025-06-06,Retargeting,CA,TikTok - Retargeting - C02,123657,1995,669.66,1825.98,TikTok
2025-06-07,Retargeting,CA,TikTok - Retargeting - C02,147842,2209,802.03,2702.93,TikTok
2025-06-08,Retargeting,CA,TikTok - Retargeting - C02,176737,2695,894.87,2894.1,TikTok
2025-06-09,Retargeting,CA,TikTok - Retargeting - C02,151364,2582,1042.11,3163.91,TikTok
2025-06-10,Retargeting,CA,TikTok - Retargeting - C02,141274,2041,848.56,2436.45,TikTok
2025-06-11,Retargeting,CA,TikTok - Retargeting - C02,160025,2596,1914.42,6201.49,TikTok
2025-06-12,Retargeting,CA,TikTok - Retargeting - C02,204325,3407,2101.81,5538.76,TikTok
2025-06-13,Retargeting,CA,TikTok - Retargeting - C02,98687,1572,716.17,2023.74,TikTok
2025-06-14,Retargeting,CA,TikTok - Retargeting - C02,119639,2083,1272.1,3536.12,TikTok
2025-06-15,Retargeting,CA,TikTok - Retargeting - C02,135087,2352,1394.34,4706.59,TikTok
2025-06-16,Retargeting,CA,TikTok - Retargeting - C02,100484,1727,1115.54,3154.83,TikTok
2025-06-17,Retargeting,CA,TikTok - Retargeting - C02,179689,2951,2090.1,6783.11,TikTok
2025-06-18,Retargeting,CA,TikTok - Retargeting - C02,125931,1891,1267.68,3797.79,TikTok
2025-06-19,Retargeting,CA,TikTok - Retargeting - C02,122688,1974,853.88,2198.99,TikTok
2025-06-20,Retargeting,CA,TikTok - Retargeting - C02,73012,1114,453.64,1467.69,TikTok
2025-06-21,Retargeting,CA,TikTok - Retargeting - C02,89760,1319,517.12,1701.44,TikTok
2025-06-22,Retargeting,CA,TikTok - Retargeting - C02,67072,1078,858.73,2417.91,TikTok
2025-06-23,Retargeting,CA,TikTok - Retargeting - C02,201644,3535,2293.88,6837.26,TikTok
2025-06-24,Retargeting,CA,TikTok - Retargeting - C02,306312,4644,1830.74,5698.34,TikTok
2025-06-25,Retargeting,CA,TikTok - Retargeting - C02,134955,2183,1020.79,3230.66,TikTok
2025-06-26,Retargeting,CA,TikTok - Retargeting - C02,186792,2812,1267.29,4109.03,TikTok
2025-06-27,Retargeting,CA,TikTok - Retargeting - C02,104805,1657,875.02,2824.08,TikTok
2025-06-28,Retargeting,CA,TikTok - Retargeting - C02,121401,2128,728.94,2486.02,TikTok
2025-06-29,Retargeting,CA,TikTok - Retargeting - C02,106908,1768,532.43,1428.08,TikTok
2025-06-30,Retargeting,CA,TikTok - Retargeting - C02,96092,1524,1074.93,3763.5,TikTok
2025-07-01,Retargeting,CA,TikTok - Retargeting - C02,186156,2845,2201.88,6094.61,TikTok
2025-07-02,Retargeting,CA,TikTok - Retargeting - C02,133432,2117,713.32,2461.52,TikTok
2025-07-03,Retargeting,CA,TikTok - Retargeting - C02,187343,3181,1623.55,5013.15,TikTok
2025-07-04,Retargeting,CA,TikTok - Retargeting - C02,229293,3479,1106.01,3456.23,TikTok
2025-07-05,Retargeting,CA,TikTok - Retargeting - C02,159044,2769,848.33,2758.25,TikTok
2025-07-06,Retargeting,CA,TikTok - Retargeting - C02,79300,1284,383.85,1353.49,TikTok
2025-07-07,Retargeting,CA,TikTok - Retargeting - C02,131648,1954,693.41,2273.2,TikTok
2025-07-08,Retargeting,CA,TikTok - Retargeting - C02,135479,2184,1457.84,5162.57,TikTok
2025-07-09,Retargeting,CA,TikTok - Retargeting - C02,134872,2172,973.25,3196.43,TikTok
2025-07-10,Retargeting,CA,TikTok - Retargeting - C02,291074,4433,2448.17,8085.51,TikTok
2025-07-11,Retargeting,CA,TikTok - Retargeting - C02,120737,2048,872.99,2767.66,TikTok
2025-07-12,Retargeting,CA,TikTok - Retargeting - C02,247999,4003,2369.01,6111.63,TikTok
2025-07-13,Retargeting,CA,TikTok - Retargeting - C02,173658,2652,1017.35,2811.29,TikTok
2025-07-14,Retargeting,CA,TikTok - Retargeting - C02,146176,2497,1222.28,4092.21,TikTok
2025-07-15,Retargeting,CA,TikTok - Retargeting - C02,147695,2149,1384.49,4080.01,TikTok
2025-07-16,Retargeting,CA,TikTok - Retargeting - C02,130535,1926,953.26,3025.2,TikTok
2025-07-17,Retargeting,CA,TikTok - Retargeting - C02,158831,2403,804.94,2695.77,TikTok
2025-07-18,Retargeting,CA,TikTok - Retargeting - C02,85559,1340,424.77,1384.72,TikTok
